Abad
Duque
Duran
Echeverria
Egas
Eguez
Encalada
Endara
Enderica
Engracia
Enriquez
Eras
Erazo
Escobar
Escola
Esparza
Espino
Espinel
Espinosa
Espinoza
Estrada
Estrella
Estupiñan
Fabara
Fajardo
Falconi
Falcony
Farinango
Farñas
Fauta
Fernandez
Fiallo
Fiallos
Fierro
Figueroa
Flor
Flores
Folleco
Fonseca
Fortis
Franco
Freire
Frias
Frometa
Fuel
Fuentes
Fuertes
Gachet
Gaibor
Galan
Galarraga
Galarza
Galeas
Galindo
Gallardo
Gallegos
Gallo
Galvez
Galvis
Gamboa
Gamboy
Ganchozo
Garces
Garcia
Garrido
Garzon
Gaspata
Gavilanes
Gavilanez
Gaybor
Giacometti
Gilbert
Giler
Godoy
Gomez
Gonsalez
Gonza
Gonzales
Gonzalez
Gooty
Gordillo
Gordon
Gortaire
Goyes
Goyos
Grados
Gramal
Granda
Grandes
Granizo
Granja
Grijalva
Guachamin
Guachimbosa
Guaillas
Guaitara
Gualavisi
Guallasamin
Guallichico
Guallimba
Guallpa
Gualotuña
Gualpa
Gualsaqui
Guaman
Guamani
Guambaña
Guananga
Guanga
Guano
Guanoliquin
Guanoluisa
Guanoluiza
Guanopatin
Guanoquiza
Guanotasig
Guaraca
Guaranda
Guarderas
Guarnizo
Guasumba
Guatemala
Guato
Guaya
Guayasamin
Guaygua
Guayta
Guazumba
Guaño
Guañuna
Gudiño
Guerra
Guerrero
Guerron
Guevara
Guijarro
Guilcapi
Guillen
Gustavo
Gutierrez
Guzman
Hallo
Haro
Helou
Herdoiza
Heredia
Hermosa
Hermoza
Hernandez
Herrera
Herreria
Hidalgo
Hinojosa
Howitt
Hoyos
Huaca
Huaraca
Huebla
Huera
Huertas
Hurtado
Ibarra
Idrobo
Idrovo
Iglecias
Iguago
Ilbay
Iler
Illapa
Illescas
Imbacuan
Imbaquingo
Inca
Infantes
Intriago
Irazabal
Irigoyen
Iturralde
Iza
Izquierdo
Izurieta
Iñiguez
Jacho
Jacome
Jadan
Jaen
Jaffer
Jara
Jaramillo
Jarrin
Jeada
Jerez
Jeton
Jibaja
Jijon
Jimbo
Jimenez
Jinez
Jordan
Jorge
Jose
Jumbo
Jurado
Karolis
Kirby
Kure
Laborde
Labre
Lafuente
Lagos
Lalaleo
Lalvay
Lanchimba
Landazuri
Landivar
Lara
Larco
Larrea
Lascano
Lasluisa
Lasso
Latacunga
Latorre
Lavayen
Laverde
Layedra
Lazo
Leime
Leiva
Lema
Lemos
Leon
Leones
Lescano
Levoyer
Lima
Limaico
Lincango
Lince
Linzan
Lizano
Llaguno
Llano
Llanos
Llerena
Lluguin
Llumiquinga
Llumitasig
Llumiuxi
Loachamin
Loaiza
Loayza
Logacho
Loja
Lojano
Lombeida
Loor
Lopez
Lorenzo
Loyos
Loza
Lozada
Lozano
Lucas
Lucero
Lucio
Ludeña
Lugmaña
Luis
Luna
Luque
Luzcando
Luzuriaga
Machado
Machay
Macias
Madrid
Mafla
Maggi
Maigua
Maiguashca
Maisincho
Malave
Maldonado
Males
Mallitasig
Manangon
Mancero
Mancheno
Mangui
Manjarres
Manopanta
Manosalvas
Manrique
Mantilla
Manzano
Marcillo
Maria
Marin
Mariño
Marmol
Martin
Martinez
Masabanda
Masache
Masapanta
Matamoros
Matehu
Matovelle
Matzaquiza
Maya
Mayac
Mayla
Mayo
Mayorga
Maza
Mazon
Medina
Medranda
Mejia
Melo
Mena
Mendez
Mendieta
Mendizabal
Mendoza
Menendez
Mera
Merchan
Mereci
Meregildo
Merida
Merino
Merizalde
Mesa
Mesias
Meythaler
Meza
Mideros
Mieles
Miguez
Mihai
Minango
Miniguano
Miranda
Miño
Mogro
Molina
Monar
Moncayo
Montaluisa
Montalvan
Montalvo
Montaño
Montenegro
Montero
Monteros
Montesdeoca
Montiel
Montoya
Montufar
Moposita
Mora
Morales
Moran
Moreano
Moreira
Morejon
Moreno
Moreta
Morillo
Morocho
Moromenacho
Moscoso
Mosquera
Moya
Moyano
Moyota
Muenala
Muirragui
Muquinche
Muquis
Murgueitio
Murillo
Muñoz
Nacimba
Naranjo
Narvaez
Nasimba
Nastacuas
Naula
Navarrete
Navarro
Navas
Nazate
Neacato
Neira
Nenger
Neppas
Nevarez
Niachimba
Nicolalde
Nieto
Ninabanda
Ninahualpa
Noboa
Noceda
Nogales
Nolivos
Noroña
Novillo
Novoa
Nuela
Nuñez
Obando
Ocampo
Ocaña
Ocentes
Ochoa
Odio
Ofarril
Ojeda
Oliveira
Olivo
Olmedo
Olmos
Olovacha
Olovache
Onofa
Orama
Orbe
Orbea
Ordoñez
Orejuela
Orellana
Orozco
Orquera
Ortega
Ortiz
Ortuño
Oscullo
Osorio
Ostaiza
Otacoma
Otañez
Oviedo
Oña
Oñate
Paca
Pachacama
Pacheco
Padilla
Paez
Paguay
Paillacho
Palacios
Paladines
Paladinez
Paliz
Pallo
Palma
Palomeque
Palomino
Palomo
Pambabay
Panchi
Pancho
Paneluisa
Paneluiza
Pante
Pantoja
Pardo
Paredes
Parra
Parraga
Parrales
Parreño
Paspuel
Pastor
Patiño
Paucar
Pauker
Pavon
Paz
Pazmiño
Pelaes
Penaherrera
Peralta
Perasso
Perdomo
Perez
Perrazo
Pesantes
Pesantez
Peña
Peñafiel
Peñaherrera
Phuma
Pichucho
Pico
Piedra
Pila
Pilatasig
Pilco
Pilicita
Pillajo
Pillo
Pinango
Pinargote
Pineda
Pino
Pinos
Pinto
Pisuña
Piuri
Piza
Pizarro
Piñaloza
Placencia
Plaza
Plua
Pobea
Polo
Poma
Pomagualli
Pomatoca
Ponce
Ponluiza
Porras
Portero
Portilla
Potosi
Poveda
Powney
Pozo
Proano
Proaño
Procel
Pruna
Puente
Puetate
Puga
Pugarin
Pugarñn
Pulamarin
Pullas
Pulles
Pullopaxi
Pulloquinga
Puma
Punina
Puruncaja
Pusda
Quevedo
Quezada
Quilligana
Quillupangui
Quilumba
Quimbiamba
Quimbita
Quimbiulco
Quinaluisa
Quinatoa
Quinde
Quinga
Quintana
Quinteros
Quinto
Quiroga
Quiroz
Quishpe
Quishpi
Quisilema
Quispe
Quitio
Quito
Quizhpe
Quizhpi
Quiña
Quiñonez
Racines
Raluca
Ramia
Ramirez
Ramon
Ramos
Raura
Rea
Real
Realpe
Reascos
Recalde
Redroban
Redrovan
Regalado
Reiban
Reina
Reinoso
Rengifo
Revelo
Rey
Reyes
Reyna
Riascos
Ribadeneira
Riera
Riofrio
Rios
Rivadeneira
Rivadeneyra
Rivas
Rivera
Robalino
Robayo
Robles
Rocha
Rodas
Roditti
Rodrigo
Rodriguez
Rojas
Roman
Romero
Romo
Ron
Rondal
Ronquillo
Rosales
Rosas
Rosero
Ruales
Rubio
Rueda
Ruiz
Saa
Saavedra
Sacan
Sacatoro
Sacoto
Saenz
Safla
Sagasti
Sailema
Saker
Salas
Salazar
Salcedo
Saldaña
Salgado
Salguero
Salinas
Saltos
Salvador
Salvatierra
Samaniego
Sampedro
Sanchez
Sancho
Sandoval
Sang
Sangacha
Sangucho
Sanguña
Sani
Sanipatin
Sanmartin
Santacruz
Santamaria
Santana
Santiago
Santillan
Santo
Saquinga
Sarango
Sarchi
Sarzosa
Savedra
Sayavedra
Segovia
Segundo
Segura
Seis
Semanate
Semblantes
Sempertegui
Serrano
Servicio
Sevilla
Shiquia
Sierra
Sigcha
Siguenza
Silva
Simba
Simbaña
Sinchiguano
Sinde
Singaña
Singo
Sisalema
Sisalima
Siza
Soasti
Socasi
Solano
Soledispa
Solina
Solis
Solorzano
Soria
Sosa
Soto
Sotomayor
Stacey
Stael
Suarez
Suasnavas
Suntaxi
Swing
Taboada
Taco
Tacoaman
Tacuri
Taday
Taipe
Tamay
Tamayo
Tandazo
Tapia
Tayupanta
Tejada
Tello
Teneda
Tenorio
Teran
Terneus
Tiban
Tierra
Tiglla
Tigse
Tinoco
Tintin
Tipan
Tipanta
Tipantuña
Tirado
Tisalema
Tituasan
Tituaña
Tixe
Tixi
Toabanda
Toala
Toalombo
Toapanta
Tobar
Toca
Toledo
Tomala
Tomarema
Topon
Tormen
Torres
Toscano
Tovar
Travez
Triviño
Troya
Trujillo
Tubon
Tufiño
Tulcan
Tuma
Tumipamba
Tupe
Tupiza
Tuquerres
Tusa
Tutillo
Uday
Ulcuango
Ulloa
Umajinga
Umatambo
Unda
Uquillas
Urbano
Urbina
Urquizo
Urrego
Urresta
Urrutia
Ushiña
Uyaguari
Vaca
Vacacela
Vacas
Valarezo
Valcarcel
Valdez
Valdivieso
Valdiviezo
Valencia
Vallejo
Vallejos
Valverde
Varela
Vargas
Vasco
Vasconez
Vasquez
Vega
Veintimilla
Vela
Velasco
Velasquez
Velastegui
Velez
Veliz
Veloz
Venegas
Vera
Verdesoto
Verdezoto
Verdugo
Vergara
Viera
Vilatuña
Vilaña
Vilca
Vilela
Villa
Villacis
Villacres
Villafuerte
Villagomez
Villagran
Villalba
Villalva
Villamar
Villamarin
Villarreal
Villarroel
Villavicencio
Villegas
Villena
Villon
Villota
Vimos
Vinces
Vinueza
Viteri
Vivanco
Vivar
Vivas
Vizcaino
Vizuete
Viñachi
Viñan
Vásquez
Wasbrum
Wilchez
Yacchirema
Yacelga
Yagchirema
Yagos
Yajamin
Yance
Yanchaguano
Yanchaluiza
Yanchapaxi
Yanchatipan
Yanchatuña
Yanez
Yarad
Yaule
Yela
Yepez
Yoo
Yugcha
Yugla
Yupanqui
Zabala
Zambonino
Zambrano
Zamora
Zapata
Zarate
Zavala
Zuleta
Zumarraga
Zumba
Zurita
Zuñiga
Ñacata
Ñacato
Ñauñay
